"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1630730099678121984","Wed Mar 01 00:42:07 +0000 2023","216"," Danau Kelimutu https://t.co/P92z4RkRtB","1630730099678121984","https://pbs.twimg.com/ext_tw_video_thumb/1630729951745028096/pu/img/LoMjXVaNlEKbxh_I.jpg","","in","Jakarta Capital Region","0","0","39","https://x.com/Jelajahi_IDN/status/1630730099678121984","1275999288082993155","Jelajahi_IDN"
"1622151553586167808","Sun Feb 05 08:34:03 +0000 2023","142","Danau Kelimutu 3 warna Ende Flores NTT. FB : Sari Putri https://t.co/DFhieXLMgu","1622151553586167808","https://pbs.twimg.com/media/FoMKPKLaIAAL4pb.jpg","","in","Bandung, Jawa Barat","0","0","38","https://x.com/Indahnesiamu/status/1622151553586167808","305605088","Indahnesiamu"
"1758159451180478819","Thu Feb 15 16:00:52 +0000 2024","168","Mengingat kembali insiden Nobita dibekali duit Rp 5.000 versi Danau Kelimutu https://t.co/4KAkz83lNz","1758159451180478819","https://pbs.twimg.com/media/GGY8si5a0AA-F0y.jpg","","in","Bukit Belakang Sekolah","2","4","58","https://x.com/DoraemonHariIni/status/1758159451180478819","2711976571","DoraemonHariIni"
"1661609600762920960","Thu May 25 05:46:14 +0000 2023","25","Danau kelimutu NTT FB : Meno Escobar https://t.co/xjrCtQqHmP","1661609600762920960","https://pbs.twimg.com/media/Fw85IFjaAAIhI7t.jpg","","in","Bandung, Jawa Barat","1","0","7","https://x.com/Indahnesiamu/status/1661609600762920960","305605088","Indahnesiamu"
"1794635099700695175","Sun May 26 07:42:05 +0000 2024","2","Gunung Kelimutu merupakan gunung api tipe strato yang memiliki tiga danau kawah yakni Kawah 1 (Tiwu Ata Polo) Kawah 2 (Tiwu Koofai Nuwamuri) dan Kawah 3 (Tiwu Ata Bupu). https://t.co/rGGoNcMPJ3","1794635099700695175","https://pbs.twimg.com/ext_tw_video_thumb/1794633875039424513/pu/img/uz6wVcqy0HGkeZBo.jpg","","in","Lewoleba","0","1","0","https://x.com/lelongPROJECT/status/1794635099700695175","387719677","lelongPROJECT"
"1772799074531672546","Wed Mar 27 01:33:31 +0000 2024","9","Kelimutu Ende NTT danau 3 warna lumayan ngos an https://t.co/TwWsCkDFr2","1772799074531672546","https://pbs.twimg.com/ext_tw_video_thumb/1772799002884673536/pu/img/ybYOGW6sIUyekPYd.jpg","","in","","0","5","2","https://x.com/007_atacante/status/1772799074531672546","1726538213974769664","007_atacante"
"1687050567414317056","Thu Aug 03 10:39:33 +0000 2023","1","Danau Kelimutu (Danau Tiga Warna) Ende - Flores. https://t.co/oyX3jC7GnN","1687050567414317056","https://pbs.twimg.com/ext_tw_video_thumb/1687050261716738048/pu/img/t6wTubyvwhgaQ-y3.jpg","","in","","0","0","0","https://x.com/SumarjoEduardus/status/1687050567414317056","1685494718023729152","SumarjoEduardus"
"1680245913187651584","Sat Jul 15 16:00:17 +0000 2023","0","Danau Kelimutu https://t.co/VZSs0QpDU7","1680245913187651584","https://pbs.twimg.com/media/F1FuwOXakAAQ4ub.jpg","","in","","0","0","0","https://x.com/AbduLRahma39436/status/1680245913187651584","1679104919310319617","AbduLRahma39436"
"1617000455602835456","Sun Jan 22 03:25:25 +0000 2023","72","Danau tiga warna Kelimutu 1994 https://t.co/0TYedRGfMZ","1617000455602835456","https://pbs.twimg.com/media/FnC9S8UaAAErKxP.jpg","","in","Jakarta","1","4","9","https://x.com/arbainrambey/status/1617000455602835456","133693041","arbainrambey"
"1619878760945422339","Mon Jan 30 02:02:47 +0000 2023","0","Danau kelimutu https://t.co/GIYym4YCmJ","1619878760945422339","https://pbs.twimg.com/ext_tw_video_thumb/1619878170840416258/pu/img/lamRiyX663PkMegy.jpg","","in","Kota Batam, Kepulauan Riau","0","0","0","https://x.com/didith_mesu/status/1619878760945422339","1276332476","didith_mesu"
